predict_time,future_time,lstm_class,lstm_predic,lstm_price,time_price,future_price,signal1,signal2,signal3

2020-11-20 13:00:00,2020-11-20 14:00:00,1.0,1.0,1.0,18181.77626958794,,1,1,

2020-11-20 14:00:00,2020-11-20 15:00:00,1.0,1.0,1.0,18291.915019355776,,,0,

2020-11-20 15:00:00,2020-11-20 16:00:00,1.0,1.0,1.0,18285.852781774523,,0,0,

2020-11-20 16:00:00,2020-11-20 17:00:00,0.0,1.0,1.0,18238.203698621084,,0,1,

2020-11-20 17:00:00,2020-11-20 18:00:00,0.0,1.0,1.0,18267.964469517377,,1,1,


2020-11-23 12:00:00,2020-11-23 13:00:00,1.0,1,1.0,18570.526870259033,18589.540435299874,,,

2020-11-24 10:00:00,2020-11-24 11:00:00,1.0,1,1.0,18408.495168471665,18381.242036820055,,1,

2020-11-24 11:00:00,2020-11-24 12:00:00,1.0,1,1.0,18447.904233965084,18713.028959760668,1,1,



2020-11-24 16:00:00,2020-11-24 17:00:00,1.0,0,1.0,19196.810855882577,18644.714859805106
2020-11-24 17:00:00,2020-11-24 18:00:00,1.0,0,1.0,19173.193524558905,18696.427924869062
2020-11-24 18:00:00,2020-11-24 19:00:00,1.0,0,1.0,19363.93503359562,18416.824811876417
2020-11-24 19:00:00,2020-11-24 20:00:00,1.0,0,1.0,19371.450636758465,18568.581531772616
2020-11-24 20:00:00,2020-11-24 21:00:00,1.0,1,1.0,19313.916122865463,19202.26555435181
2020-11-24 21:00:00,2020-11-24 22:00:00,1.0,0,1.0,19208.344343002915,18780.92021467209
2020-11-24 22:00:00,2020-11-24 23:00:00,1.0,1,1.0,19254.69757005102,19332.94153678894
2020-11-24 23:00:00,2020-11-25 00:00:00,1.0,1,1.0,19099.222399517857,18931.28403834343
2020-11-25 00:00:00,2020-11-25 01:00:00,0.0,1,1.0,19089.31971483125,19149.58373728752,,,
2020-11-25 01:00:00,2020-11-25 02:00:00,0.0,1,0.0,18925.135750190937,19075.537189750674,,,
2020-11-25 02:00:00,2020-11-25 03:00:00,0.0,1,1.0,19105.65878756683,19017.0487983799,,,
2020-11-25 03:00:00,2020-11-25 04:00:00,0.0,0,1.0,19155.566900648388,19215.743315048217,,,
2020-11-25 04:00:00,2020-11-25 05:00:00,0.0,0,1.0,19173.397440226938,19272.09149196625,,,
2020-11-25 05:00:00,2020-11-25 06:00:00,0.0,0,1.0,19076.710304079428,19298.062066612245,,,
2020-11-25 06:00:00,2020-11-25 07:00:00,0.0,1,0.0,18969.745131427804,18969.56035666466,,,
2020-11-25 07:00:00,2020-11-25 08:00:00,0.0,0,0.0,18854.23192099973,19328.76225634575,,,
2020-11-25 08:00:00,2020-11-25 09:00:00,0.0,1,0.0,18737.886522349905,19201.418517551425,,,
2020-11-25 10:00:00,2020-11-25 11:00:00,0.0,0,1.0,18878.642231487862,18686.319647026063,,,
2020-11-25 11:00:00,2020-11-25 12:00:00,1.0,0,1.0,18981.11425602075,18854.598313720824,1,1,
2020-11-25 12:00:00,2020-11-25 13:00:00,1.0,0,1.0,19099.368264607263,19173.891923055653,1,0,
2020-11-25 13:00:00,2020-11-25 14:00:00,1.0,0,1.0,19165.635267612543,19305.530499601362,1,1,
2020-11-25 14:00:00,2020-11-25 15:00:00,1.0,1,1.0,19272.01896866439,19328.19055772066,,,
2020-11-25 15:00:00,2020-11-25 16:00:00,1.0,1,1.0,19296.247739032537,19114.90724330306,1,1,
2020-11-25 16:00:00,2020-11-25 17:00:00,1.0,1,1.0,19312.24960866139,19574.925926218035,0,0,
2020-11-25 17:00:00,2020-11-25 18:00:00,1.0,1,1.0,19225.48266303149,19194.894582101108,1,1,
